,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
214,0.0356,0.525,0.5143279330601356,0.785,0.0,0.103,0.0,0.0455,0.7202323494047317
215,0.936,0.257,0.4290973611855988,0.113,0.93,0.102,0.0,0.0386,0.569467730190181
216,0.0856,0.523,0.3784593268521643,0.617,0.857,0.139,0.0,0.0265,0.33854934037832984
217,0.5,0.58,0.5160286009082795,0.405,0.0,0.103,1.0,0.0994,0.7183059831665227
218,0.992,0.691,0.2970839801876213,0.00816,0.967,0.149,0.0,0.093,0.28598706159291437
219,0.476,0.722,0.4697023861825791,0.514,0.0114,0.105,0.0,0.272,0.4402784128435706
220,0.185,0.625,0.483020634849052,0.574,0.00405,0.159,1.0,0.0356,0.38988382529763416
221,0.798,0.549,0.47735404637140433,0.274,6.63e-06,0.103,1.0,0.0379,0.3669156124574506
222,0.539,0.673,0.47062694122277304,0.659,0.0,0.129,0.0,0.0439,0.37261850327693946
223,0.338,0.792,0.5601168325238781,0.959,0.0,0.275,0.0,0.0913,0.48694728107165236
224,0.637,0.115,0.3905815406227271,0.301,0.935,0.154,1.0,0.0449,0.32716896137106466
225,0.593,0.287,0.5746529516646013,0.654,7.3e-06,0.11,1.0,0.0374,0.3557003505563176
226,0.447,0.32,0.4266291617134885,0.437,0.0,0.279,0.0,0.0411,0.34531914172974987
227,0.16,0.702,0.4873866515038132,0.759,0.0,0.062,1.0,0.0381,0.5249834882893868
228,0.128,0.551,0.5135866083641183,0.596,0.0,0.0679,1.0,0.0544,0.7188352046605362
229,0.401,0.722,0.44403493651064174,0.592,1.31e-06,0.0927,1.0,0.0564,0.5923173974157055
230,0.175,0.729,0.5224046700391756,0.675,1.58e-06,0.55,1.0,0.0312,0.5079171535504412
231,0.574,0.649,0.5239348730332716,0.458,0.0,0.113,0.0,0.0446,0.7623795491879625
232,0.0919,0.605,0.5151811752936917,0.532,0.000576,0.0762,0.0,0.0337,0.4352486917644668
233,0.165,0.69,0.509463860672088,0.812,4.15e-05,0.0905,0.0,0.0327,0.4353333672035089
234,0.149,0.567,0.5092739667988639,0.588,0.00298,0.126,0.0,0.0315,0.3360810513302511
235,0.503,0.433,0.5270813935746816,0.501,0.0177,0.0945,1.0,0.0346,0.863943504547071
236,2.64e-05,0.38,0.4681395467483629,0.988,7.86e-05,0.368,1.0,0.0639,0.7879599993225964
237,0.0154,0.617,0.44516112640372696,0.514,0.0,0.118,1.0,0.0722,0.3432191908415045
238,0.0849,0.616,0.4822190588578035,0.699,0.000689,0.077,1.0,0.044,0.4231909092448644
239,0.0209,0.727,0.5135627742247681,0.714,0.0,0.153,1.0,0.0872,0.694351301461498
240,0.895,0.559,0.4350532855422746,0.354,0.864,0.113,0.0,0.108,0.33841809344781454
241,0.655,0.636,0.4967847393495024,0.522,0.0,0.124,1.0,0.127,0.3516062930786296
242,0.0145,0.559,0.5048317489023875,0.559,0.0,0.138,1.0,0.0358,0.30693999898389474
243,0.926,0.49,0.546029256084013,0.126,3.36e-06,0.0992,1.0,0.0327,0.42291994783992953
244,0.523,0.719,0.5320904215359592,0.922,0.000163,0.0867,1.0,0.0338,0.5635700858608952
245,0.0148,0.708,0.45739969664187075,0.872,0.802,0.0881,0.0,0.0463,0.529204558925638
246,0.163,0.709,0.503923261967504,0.48,0.0,0.16,1.0,0.305,0.7447882267269555
247,0.00137,0.593,0.46793015697798657,0.914,0.445,0.0714,1.0,0.0363,0.5419863164490507
248,0.000734,0.572,0.47736804744363837,0.961,0.021,0.207,1.0,0.0625,0.3259919727683788
249,0.458,0.744,0.5415345858594152,0.708,0.000486,0.207,0.0,0.0312,0.5081246083760944
250,0.49,0.526,0.5819579723592989,0.639,1.46e-05,0.099,1.0,0.0322,0.3262248302257447
251,0.00591,0.682,0.5465502000759641,0.97,0.171,0.0448,1.0,0.0459,0.5840657758810479
252,0.701,0.676,0.48245163289938464,0.634,1.63e-06,0.223,1.0,0.0385,0.3641213229690596
253,0.0198,0.648,0.45524365592939264,0.724,0.0,0.15,1.0,0.0263,0.529280766820776
254,0.695,0.445,0.5214007889395291,0.537,1.65e-05,0.0944,0.0,0.04,0.5197759487882945
255,0.112,0.933,0.5002363854392389,0.528,0.329,0.163,0.0,0.162,0.4656090704330301
256,0.414,0.384,0.4961386160225105,0.455,0.838,0.0933,0.0,0.0348,0.4234534031058951
257,0.181,0.686,0.480984449848298,0.538,3.13e-06,0.113,1.0,0.0345,0.4906264288980338
258,0.806,0.221,0.48510352657494216,0.34,0.989,0.104,0.0,0.0314,0.36268607427729516
259,0.0947,0.597,0.5014142120463019,0.624,8.62e-05,0.0946,1.0,0.0283,0.4426027536452776
260,0.0364,0.628,0.5005487228847798,0.797,0.0,0.104,0.0,0.0596,0.45271723483886267
261,0.19,0.417,0.5420706340787769,0.52,0.0,0.0783,1.0,0.0324,0.5247082931124998
262,0.0194,0.369,0.5494434673938362,0.467,0.46,0.109,1.0,0.0274,0.3999771376314586
263,0.00498,0.66,0.47651265700193624,0.648,1.11e-06,0.322,0.0,0.0481,0.5422615116259378
264,0.363,0.593,0.49517951968498863,0.74,2.22e-05,0.102,1.0,0.0339,0.49961896052431026
265,0.855,0.518,0.5310066096230956,0.208,5.15e-06,0.12,1.0,0.0363,0.7613846127792173
266,0.981,0.323,0.49509554597628913,0.0742,0.944,0.0735,1.0,0.0328,0.254174499144778
267,0.254,0.445,0.4829555372032164,0.532,0.0,0.109,1.0,0.0405,0.5452082169046046
268,0.818,0.45,0.474742970591268,0.329,0.00109,0.135,0.0,0.0441,0.30434046300530065
269,0.0128,0.479,0.8516840074302423,0.82,0.66,0.109,0.0,0.064,0.5864536232620365
270,0.372,0.676,0.4610267888745505,0.338,5.57e-06,0.468,1.0,0.0284,0.3896297989805077
271,0.184,0.693,0.4126244486992148,0.537,2.59e-05,0.2,1.0,0.0393,0.6054082202916222
272,0.184,0.693,0.4126244486992148,0.537,2.59e-05,0.2,1.0,0.0393,0.6054082202916222
