,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
150,0.698,0.641,0.4763912235265606,0.324,0.0,0.328,1.0,0.0299,0.46649392877102064
151,0.823,0.659,0.47684218385570354,0.273,0.0,0.121,1.0,0.0285,0.4664388897356433
152,0.521,0.342,0.5099268791405005,0.279,0.00053,0.157,1.0,0.0376,0.303840877914952
153,0.778,0.62,0.4840334840159577,0.553,0.00191,0.0916,0.0,0.0517,0.6307388778810818
154,0.188,0.728,0.4615896572173397,0.694,0.000876,0.149,1.0,0.0645,0.4317812325356907
155,0.925,0.2,0.43420406470834094,0.318,0.894,0.114,1.0,0.0449,0.5063294890684008
156,0.743,0.654,0.5321949056055959,0.408,0.0145,0.278,1.0,0.0695,0.4062600552083862
157,0.000223,0.658,0.5424311365422043,0.852,0.863,0.101,1.0,0.044,0.5928296838219106
158,0.594,0.897,0.4282472455359514,0.728,0.0,0.0735,0.0,0.167,0.5922835272400887
159,0.674,0.157,0.5556130549753022,0.378,0.914,0.136,1.0,0.0389,0.5994682382428154
160,0.11,0.66,0.4719230806910386,0.867,0.0,0.0368,0.0,0.116,0.3938805060204237
161,0.397,0.697,0.5195920200645117,0.438,0.0,0.293,1.0,0.0289,0.49939033683889644
162,0.589,0.557,0.54459498713641,0.58,0.000245,0.124,0.0,0.0429,0.33891767853816324
163,0.0562,0.451,0.4199156772894874,0.496,0.777,0.325,0.0,0.0424,0.6771240833883724
164,0.943,0.508,0.5076334429851412,0.0901,0.000875,0.18,1.0,0.0295,0.2972023234940473
165,0.0533,0.724,0.4819146847098623,0.618,0.704,0.0886,1.0,0.0534,0.4234661044217514
166,0.887,0.764,0.08691350074605975,0.376,1.92e-06,0.375,1.0,0.571,0.4129875188402852
167,0.601,0.591,0.48640935566822563,0.335,0.0,0.0976,0.0,0.0339,0.3660011177157953
168,0.0997,0.524,0.49239729908822616,0.885,0.0,0.0708,1.0,0.037,0.5078578807431116
169,0.832,0.386,0.46912451547069334,0.406,0.0597,0.171,1.0,0.0425,0.33284221578688883
170,0.125,0.615,0.44721584664912584,0.373,0.876,0.184,0.0,0.026,0.37244491862690304
171,0.0411,0.72,0.47419964889526156,0.819,0.0,0.0606,1.0,0.0362,0.5588155599586784
172,0.0573,0.807,0.47851902022072146,0.887,2.87e-06,0.124,1.0,0.0503,0.5675455977239241
173,0.776,0.601,0.438420008057536,0.556,0.0465,0.236,0.0,0.395,0.33871445748446205
174,0.0216,0.473,0.4874681035801509,0.871,0.0,0.0525,1.0,0.0456,0.6222586326610103
175,0.479,0.733,0.4393503824936773,0.859,0.0645,0.105,0.0,0.033,0.5290013378719368
176,0.797,0.426,0.5172867528398526,0.177,0.00615,0.113,1.0,0.0346,0.5002413250012702
177,0.072,0.813,0.5028720274171437,0.734,0.0,0.118,0.0,0.0577,0.45710765635319817
178,0.149,0.846,0.47264434160221724,0.628,0.0,0.0746,1.0,0.0567,0.4702535182644922
179,0.0532,0.761,0.4881076106484534,0.644,0.00146,0.0838,1.0,0.0409,0.47415282223238325
180,0.00202,0.732,0.4527660379959979,0.777,0.667,0.268,1.0,0.111,0.67766177242629
181,0.716,0.247,0.4988675386803263,0.442,0.0,0.0655,1.0,0.041,0.26652441192907583
182,0.0173,0.774,0.5754966208987455,0.909,0.121,0.0739,0.0,0.0365,0.5375916611627631
