track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
MONEY,LISA,0.161,0.831,168228.0,0.554,6.12e-05,1.0,0.152,-9.998,0.0,0.218,140.026,4.0
MONSTERS!,LaLion,0.247,0.736,168730.0,0.616,0.0,7.0,0.379,-5.5,1.0,0.0532,126.117,4.0
MORTAL,Pharmacist,0.0846,0.672,143920.0,0.996,0.928,11.0,0.111,-1.448,1.0,0.0545,174.965,4.0
MUKANJYO,Survive Said The Prophet,0.00364,0.468,192400.0,0.961,0.0,7.0,0.226,-4.082,1.0,0.114,94.926,4.0
MY TIME,Arizona Zervas,0.446,0.622,150119.0,0.527,0.0,10.0,0.07,-7.638,0.0,0.0346,79.478,4.0
Ma Belle,AP Dhillon,0.0424,0.908,160825.0,0.314,4.15e-05,0.0,0.0727,-9.614,1.0,0.116,97.011,4.0
"Maa Tujhe Salaam (From ""Vande Mataram"")",A.R. Rahman,,,,,,,,,,,,
Maahi (Lofi),JalRaj,0.608,0.589,192000.0,0.456,0.0,7.0,0.249,-9.581,0.0,0.0307,75.012,4.0
Maahi Ve,Shankar-Ehsaan-Loy,0.0297,0.815,366853.0,0.833,2e-05,7.0,0.33,-6.117,0.0,0.0769,99.989,4.0
Maana Ke Hum Yaar Nahin,Sachin-Jigar,0.815,0.537,264614.0,0.367,0.0,8.0,0.132,-9.362,1.0,0.0241,90.953,4.0
Machine,Imagine Dragons,0.0016,0.638,181880.0,0.679,0.00655,4.0,0.121,-5.278,1.0,0.0425,81.045,4.0
Mad at Disney,salem ilese,0.424,0.738,136839.0,0.621,7.39e-06,0.0,0.692,-7.313,1.0,0.0486,113.968,4.0
Madan Senki Ryukendo Opening Song (魔弾戦記きリュウケンドー),Beastmaster64,,,,,,,,,,,,
Madara Uchiha Speech - Naruto,Common Man,,,,,,,,,,,,
Magic,Dylan Rockoff,0.0787,0.756,155086.0,0.715,0.0,10.0,0.0814,-4.656,0.0,0.124,106.022,4.0
Magnetic,EMDI,0.441,0.605,158952.0,0.88,8.62e-06,9.0,0.113,-6.283,0.0,0.0669,123.832,4.0
Mai Tai,Oaty.,0.857,0.771,159050.0,0.426,0.946,1.0,0.107,-5.671,1.0,0.13,86.016,4.0
Maid of Amsterdam,Nils Brown,0.97,0.842,101307.0,0.462,0.0,2.0,0.151,-5.958,1.0,0.119,98.386,4.0
Main Agar Kahoon,Sonu Nigam,0.234,0.533,308158.0,0.436,3.17e-06,5.0,0.46,-7.521,0.0,0.0276,146.868,3.0
Main Hoon Na,Sonu Nigam,0.284,0.48,361067.0,0.681,0.0,5.0,0.125,-8.002,1.0,0.163,88.003,4.0
Main Hoon Wo Aasman,Rafaqat Ali Khan,0.125,0.633,403613.0,0.581,0.000825,1.0,0.104,-7.361,0.0,0.0329,101.951,4.0
"Main Ki Karaan? (From ""Laal Singh Chaddha"")",Pritam,,,,,,,,,,,,
"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",Abhijeet,,,,,,,,,,,,
Main Laut Aaunga,Kaash,0.303,0.371,306888.0,0.519,0.0,0.0,0.2,-7.567,1.0,0.0286,180.772,4.0
Main Woh Chaand,Darshan Raval,0.364,0.583,322809.0,0.45,0.00166,5.0,0.141,-7.218,0.0,0.0292,92.043,4.0
Maine Dil Se Kaha,KK,0.384,0.6,312787.0,0.5,3.81e-05,0.0,0.0907,-9.115,1.0,0.0252,110.006,4.0
"Maine Poochha Chand Se - From ""Abdullah""",Mohammed Rafi,0.608,0.468,308667.0,0.426,0.0,1.0,0.0733,-8.336,1.0,0.0325,129.857,3.0
Make It (feat. The Weeknd) [DJAmg Remixer],AtariJones,0.0134,0.514,102243.0,0.407,0.0294,9.0,0.135,-15.052,1.0,0.153,82.759,4.0
Make It Bun Dem,Skrillex,0.00119,0.556,213697.0,0.881,0.0,7.0,0.0709,-2.224,1.0,0.082,104.973,1.0
Make It Right (feat. Lauv),BTS,0.0304,0.583,226321.0,0.68,0.0,7.0,0.189,-7.809,1.0,0.422,97.568,4.0
Make It Up,Tirzah,0.674,0.913,230746.0,0.351,0.00253,1.0,0.0804,-12.246,1.0,0.311,105.013,4.0
Make Me A Memory,nøll,0.436,0.629,192000.0,0.628,0.00907,7.0,0.0677,-6.097,0.0,0.0404,85.023,4.0
Make Some Noise For The Desi Boyz,Pritam,0.0188,0.692,244068.0,0.954,0.0,2.0,0.151,-3.93,0.0,0.0915,141.98,4.0
Make Us Never Happen,shy martin,0.308,0.61,171890.0,0.489,0.0,10.0,0.165,-8.541,0.0,0.127,105.016,4.0
Make You Mine,PUBLIC,0.0128,0.606,232907.0,0.799,0.0,9.0,0.15,-4.452,1.0,0.0261,103.014,4.0
Make You Mine - Acoustic,PUBLIC,0.755,0.721,209093.0,0.389,0.0,9.0,0.136,-8.558,1.0,0.0279,98.003,4.0
Makes No Sense,Kerala,0.23,0.393,175176.0,0.654,0.0,2.0,0.0614,-6.489,1.0,0.0388,85.214,4.0
Makhna,Tanishk Bagchi,,,,,,,,,,,,
Maleyali Jotheyali,Sonu Nigam,0.38,0.688,264098.0,0.616,1.18e-06,1.0,0.364,-7.602,0.0,0.0274,106.995,4.0
Malibu Nights,LANY,0.701,0.559,286928.0,0.422,1.99e-06,11.0,0.0853,-11.89,1.0,0.195,74.002,4.0
Malleus Maleficarum,Hans Zimmer,0.79,0.104,139373.0,0.373,0.984,9.0,0.111,-16.347,0.0,0.0555,88.012,3.0
Mama,Jonas Blue,0.101,0.738,184134.0,0.794,0.0,11.0,0.0533,-4.118,0.0,0.0416,104.014,4.0
Mama (feat. Ellie Goulding),Clean Bandit,0.225,0.737,189973.0,0.714,3.79e-06,1.0,0.267,-6.138,0.0,0.0367,102.046,4.0
Mama - Syn Cole Remix,Jonas Blue,0.0286,0.787,179888.0,0.796,0.0,11.0,0.0909,-3.551,0.0,0.0429,126.032,4.0
Man in the Box,Alice In Chains,0.00045,0.355,285200.0,0.791,0.0,8.0,0.0969,-7.565,1.0,0.0453,106.392,4.0
Man of the World (Naruto),Kato,0.143,0.456,106485.0,0.469,0.936,2.0,0.212,-7.838,0.0,0.0339,120.045,4.0
Man of the World (Piano),Kato,0.994,0.58,61482.0,0.00283,0.963,2.0,0.103,-28.277,0.0,0.054,66.586,3.0
Maniac,Conan Gray,0.00162,0.628,185773.0,0.639,0.0,8.0,0.354,-5.46,1.0,0.0435,108.045,4.0
